,Genre,ID,popularity,is_exp,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
122,rnb,5CKAdIqcxvpSR4svKpYD8n,61,True,Bedroom,The-Dream,0.654,0.585,10,-7.518,0,0.0928,0.665,5.1e-05,0.107,0.46,125.79,4
123,rnb,4tnbj99HG3bbjccKigcAcx,57,True,Morning After Sex,Damar Jackson,0.696,0.659,4,-5.141,0,0.091,0.0365,0.0,0.117,0.62,109.931,4
124,rnb,3KUcJryOB8pwkBO3ffzzZD,60,False,Testify,Robin Thicke,0.669,0.424,7,-8.81,1,0.0356,0.737,3.79e-05,0.0973,0.566,179.862,4
125,rnb,5CJD51sC5P3Nf4U3D7AVc3,67,False,Midnight (with Tessa Thompson & Gunna ),Mike WiLL Made-It,0.796,0.603,7,-6.838,0,0.0502,0.395,0.00166,0.105,0.431,99.989,4
126,rnb,7pSn2j9BhIWMqmKDfhkbTQ,68,True,Solid,Trey Songz,0.574,0.587,2,-6.565,0,0.066,0.0665,0.0,0.467,0.353,132.091,4
127,rnb,1BybndP1YgPEIk6WUnL6kT,62,True,Reckless,Arin Ray,0.686,0.701,5,-5.702,0,0.0968,0.257,0.00281,0.088,0.605,173.994,4
128,rnb,0Jc9LPSM5xeZB1B6ssSnbB,55,False,Thank You 4 the Broken Heart 2.0,J Rice,0.33,0.48,7,-9.709,0,0.265,0.462,0.0,0.113,0.398,65.131,4
129,rnb,6O30uFqAaR5bAAbnUMTUoZ,60,False,Way Too Far,Phony Ppl,0.519,0.469,7,-7.368,0,0.043,0.734,1.17e-05,0.247,0.114,92.868,4
130,rnb,6uxcCb3i0ijX0mMnvFBUhr,58,False,Me & You,Njomza,0.776,0.41,6,-9.091,1,0.0393,0.836,0.00953,0.111,0.341,134.977,4
131,rnb,7dQeS4ErW1iWvnKdrtKwKr,68,True,Around Me,Brent Faiyaz,0.587,0.177,1,-12.522,1,0.0647,0.574,5.54e-05,0.097,0.125,75.039,4
132,rnb,1CXP50I9secwDGhAnwLD1P,64,True,Ride Good,LightSkinKeisha,0.645,0.57,5,-6.733,0,0.0605,0.094,0.0,0.133,0.409,157.048,4
133,rnb,5PG3h38oiQLEJlOuOvIs80,61,False,Still Not a Player,Big Pun,0.902,0.614,4,-6.529,0,0.289,0.184,0.000742,0.0867,0.862,94.069,4
134,rnb,0JHwHqPlca9zCnGnQenAEW,56,False,Candy Rain - Heavy D & TrakMasterz Mix,Soul For Real,0.786,0.591,0,-7.71,1,0.0501,0.0132,9.34e-06,0.147,0.706,93.866,4
135,rnb,6a5jHgwqYMk9wlYJYfs3c9,66,False,Can We Talk,Tevin Campbell,0.658,0.711,2,-7.424,0,0.0425,0.0759,1.77e-05,0.0446,0.614,172.365,4
136,rnb,3OZs6tgXsBmb3TWPn07YCF,59,False,"I Wanna Be Down (feat. Queen Latifah, Yoyo & McLyte) - Remix",Brandy,0.893,0.433,11,-5.88,0,0.396,0.33,0.0,0.395,0.675,86.01,4
137,rnb,63PIgPkDf3rswlU4ZWCYAM,60,False,What About Your Friends,TLC,0.744,0.851,10,-10.108,0,0.049,0.0267,0.00738,0.0989,0.626,105.882,4
138,rnb,4Wtk0YYWUcx1JYicaq5Jd0,62,False,It's All About Me,Mýa,0.808,0.504,2,-7.281,1,0.0805,0.232,0.0,0.171,0.499,137.048,4
139,rnb,1CAw3ethNuSDPf3E7luSFF,59,False,Faded Pictures,Case,0.64,0.527,1,-7.683,0,0.286,0.145,3.98e-06,0.134,0.603,164.029,4
140,rnb,6mz1fBdKATx6qP4oP1I65G,75,False,Pony,Ginuwine,0.749,0.605,8,-9.359,0,0.086,0.00186,0.0381,0.115,0.966,142.024,4
141,rnb,04VArZKHm1xesMxqnsutDY,57,False,I'm Dreamin',Christopher Williams,0.788,0.745,6,-9.342,1,0.0581,0.249,7.66e-06,0.25,0.688,110.133,4
142,rnb,5OQO6NEs89flntUWPtXUiG,56,False,Steelo,702,0.772,0.736,8,-8.19,0,0.145,0.113,0.00189,0.101,0.622,91.008,4
143,rnb,7jg3Irt0hqnss3HvaPP2D2,60,False,Only You (feat. The Notorious B.I.G.) - Radio Mix,112,0.778,0.644,8,-7.6,1,0.0532,0.145,0.0,0.112,0.846,96.025,4
144,rnb,5xE7sFTlv2yrG9mmhDSpdq,60,False,Come And Talk To Me Remix,Jodeci,0.72,0.657,11,-6.823,0,0.295,0.0262,2.33e-06,0.209,0.657,172.168,4
