,Genre,ID,popularity,is_exp,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
811,pop,7mjOxXnZYbGtgjyX0hqaLs,66,False,Losing You,boy pablo,0.597,0.771,5,-10.717,1,0.0394,0.0111,4.68e-06,0.0987,0.811,104.008,4
812,pop,7FIG9jdfSkky8Ffe7UDbQt,45,True,No Tissues,Postcard Boy,0.623,0.302,0,-12.694,1,0.0487,0.00376,0.0189,0.153,0.225,109.971,4
813,pop,0GHlFvtU5ALfhCSNEtTE0T,54,False,Midnight Blue,Puma Blue,0.681,0.259,10,-9.106,0,0.0933,0.812,0.0066,0.393,0.333,74.837,4
814,pop,7mrEpwmQJ7qK1ik7ZjjcdD,63,False,Clueless,The Marías,0.829,0.23,2,-16.559,1,0.0418,0.653,0.188,0.258,0.516,94.014,4
815,pop,0KyAGiNGUytG5JLxJu4F6l,75,False,Pretty Girl,Clairo,0.93,0.611,0,-4.406,1,0.0415,0.593,0.00124,0.0592,0.695,112.127,4
816,pop,46nibbtFxxrgZq9EpXmTy1,42,False,FOA,wwoman,0.713,0.687,2,-8.102,1,0.0319,0.049,0.564,0.218,0.55,129.985,4
817,pop,6tlUFZscsKCqGmdTYI8t3E,45,False,I'll Be Around,FLOOR CRY,0.788,0.469,5,-13.639,1,0.0347,0.74,0.00019,0.101,0.881,120.013,4
818,pop,54oNYGC5Sh6ZkvlsLYjPpC,47,False,Car Window,Yeek,0.927,0.0796,2,-9.899,0,0.0671,0.418,0.235,0.11,0.548,117.01,3
819,pop,1fZeK4F1yZkVrEOb9ILaax,58,False,Today (feat. Teo Halm),Omar Apollo,0.837,0.462,8,-7.817,0,0.0331,0.0704,0.0165,0.24,0.761,102.048,4
820,pop,0CIkEjigreAi3b1YCLBqzW,50,False,Listen,Ambar Lucid,0.854,0.576,4,-14.534,0,0.0457,0.457,8.58e-05,0.0933,0.482,104.991,4
821,pop,7G7zCzvyqz39BFE7TqPM3O,66,False,All Your Love,Jakob Ogawa,0.568,0.587,11,-8.814,0,0.127,0.293,0.329,0.137,0.491,174.682,4
822,pop,28EyY6ygTlCucvF9RoMIQ1,45,False,Really Meant,Johnny Utah,0.814,0.254,9,-12.104,0,0.0405,0.929,3.94e-05,0.0913,0.419,130.05,4
823,pop,0yb0vfZe6qShIACQJW5GgD,48,False,Hit or Miss,BOYO,0.514,0.413,4,-9.042,0,0.0453,0.497,0.899,0.0847,0.332,179.785,4
824,pop,7cneuh5BMBbqbbGrpqTDHQ,59,False,That I Miss You,Vansire,0.779,0.572,4,-9.259,1,0.0396,0.306,0.739,0.106,0.967,114.994,4
825,pop,4WpawRrVBCjPtmvlEmQdmc,57,False,Something About You,Sophie Meiers,0.809,0.338,11,-11.03,0,0.0349,0.722,0.34,0.113,0.508,120.066,4
826,pop,4zvHZWOGyL7WcmqHOgtGCW,71,False,Everytime,boy pablo,0.431,0.669,2,-10.065,1,0.035,0.0252,0.0433,0.117,0.855,203.906,4
827,pop,3oJWTN5wZcXr40qNX3wPZ8,43,False,Small Talk,Postcard Boy,0.6,0.333,11,-10.683,1,0.0252,0.673,0.000299,0.113,0.168,109.943,4
828,pop,4XoLM5pbS7zLx5NbL4v790,44,False,If I'm Gone Tomorrow (It's Because of Aliens),MUNYA,0.392,0.752,7,-7.338,1,0.0338,0.000847,0.891,0.152,0.555,157.975,4
829,pop,68bLFIx0Gw6P3DMBIGdUyz,49,False,Sunnnn,Goth Babe,0.379,0.69,2,-9.862,1,0.747,0.169,0.00266,0.557,0.17,189.938,4
830,pop,3qLqAlhe4WKDim35hYeSS9,43,False,Lonely Days,Alex Siegel,0.594,0.534,0,-7.535,1,0.0333,0.297,0.188,0.0645,0.355,89.959,4
831,pop,2NvmyE3zwZuJCMyAH4pnyd,46,False,companions <3,Matt DiMona,0.788,0.319,5,-11.733,1,0.0425,0.0411,0.695,0.103,0.386,92.005,4
832,pop,4XYo3W8U6IY42EbB01rnR4,63,False,Heaven,Clairo,0.733,0.262,0,-13.766,1,0.028,0.224,4.79e-06,0.105,0.444,135.497,3
833,pop,6w9zex3lLDwzmvu12LDpJw,57,False,Whatever You Want,Sports,0.728,0.38,2,-11.025,1,0.0946,0.383,0.000279,0.364,0.5,168.604,4
834,pop,4LMlviHZfDUXWIZhvGEAKi,57,False,Young,Frankie Cosmos,0.495,0.362,2,-8.737,1,0.0539,0.439,1.67e-05,0.127,0.198,104.937,4
835,pop,6ZRuF2n1CQxyxxAAWsKJOy,87,True,Nights Like This (feat. Ty Dolla $ign),Kehlani,0.61,0.725,8,-5.131,1,0.15,0.367,0.0,0.154,0.291,146.163,4
836,pop,7tDqtZnEQcgAE92mEMtgnF,75,False,Cool Again,Shoffy,0.774,0.45,11,-6.86,1,0.0896,0.443,3.28e-05,0.127,0.648,90.055,4
